Date,portfolio_value,oex
2020-09-30,10101.429191934032,10327.306640752011
2020-10-01,10165.626699562123,10388.850719701239
2020-10-02,10147.015884729293,10237.96893068516
2020-10-05,10274.041471034654,10426.372848742174
2020-10-06,10248.94237923654,10258.285440090734
2020-10-07,10388.418319610977,10441.26246708665
2020-10-08,10506.765298404516,10506.974863671376
2020-10-09,10602.47346025924,10619.672924393908
2020-10-12,10657.986168665353,10836.664554234378
2020-10-13,10604.901911670891,10776.774877323423
2020-10-14,10530.49524792494,10689.554446427626
2020-10-15,10491.62460221837,10659.378573312508
2020-10-16,10569.875474037037,10659.378573312508
2020-10-19,10418.234006086968,10471.173377375326
2020-10-20,10473.792189516684,10523.253921227682
2020-10-21,10436.175401522964,10503.401096768383
2020-10-22,10509.840262731956,10545.158591964922
2020-10-23,10531.123913834097,10566.599577755887
2020-10-26,10448.216679075165,10380.711190923084
2020-10-27,10343.2571667276,10383.953754293025
2020-10-28,10135.382414612272,9990.206069183572
2020-10-29,10134.621638414896,10126.793598401176
2020-10-30,10004.076047918936,9977.037093583982
2020-11-02,10184.454129857022,10060.816238990008
2020-11-03,10319.953155482788,10222.351472381462
2020-11-04,10462.152838324491,10522.791044094904
2020-11-05,10538.926461101644,10728.664736800227
2020-11-06,10565.644118763883,10726.414976215952
2020-11-09,10522.774728248518,10776.841118030034
2020-11-10,10700.554608896195,10740.378032481374
2020-11-11,10781.889799783585,10857.046496533067
2020-11-12,10721.896732042287,10764.267500976444
2020-11-13,10849.767143137153,10885.237571890353
2020-11-16,10900.436549922462,10995.288427788946
2020-11-17,10803.273531283088,10941.88387761787
2020-11-18,10719.956102699995,10814.230765657749
2020-11-19,10772.174346881304,10856.252415867235
2020-11-20,10750.787099687459,10775.78207453776
2020-11-23,10711.783449836465,10815.02484632358
2020-11-24,10791.982477461403,11001.707313822215
2020-11-25,10828.396351395573,11000.317874610382
2020-11-27,10823.010047018275,11024.074861692232
2020-11-30,10770.619080997505,10977.090005367922
2020-12-01,10854.628985821528,11114.206652424915
2020-12-02,10830.757360413814,11150.802219386798
2020-12-03,10738.619053185248,11132.405074845941
2020-12-04,10770.947778092013,11201.09587978766
2020-12-07,10772.314910703866,11190.904504731567
2020-12-08,10839.549636342555,11223.728390484119
2020-12-09,10895.915289890854,11124.728423200566
2020-12-10,10882.664760215213,11112.618491093252
2020-12-11,10900.346688219068,11112.08937325386
2020-12-14,10814.633303973611,11062.78770782517
2020-12-15,10950.67197192489,11194.213308808115
2020-12-16,10957.230301793039,11225.184070402562
2020-12-17,11009.440150083186,11275.081094377256
2020-12-18,10955.494931825391,11221.61030349957
2020-12-21,10888.6267720587,11203.743084611599
2020-12-22,10822.227566262234,11177.801769838587
2020-12-23,10788.320812679358,11179.125776157305
2020-12-24,10847.182797759662,11215.588861705965
2020-12-28,10929.978213462051,11350.58742177841
2020-12-29,10919.310239745795,11337.41844617882
2020-12-30,10956.932861824418,11325.043551245064
2020-12-31,11055.178103564103,11385.594827408628
2021-01-04,10919.879306974286,11229.154473731724
2021-01-05,10908.989524465376,11304.33040541332
2021-01-06,11000.49473903733,11294.602715303503
2021-01-07,11033.639830980468,11480.160706416746
2021-01-08,11108.799793442631,11563.144963343444
2021-01-11,11226.558927966198,11463.285482500944
2021-01-12,11103.922519837577,11449.7853033683
2021-01-13,11232.477285682882,11512.454666516414
2021-01-14,11200.384222802626,11446.741462118192
2021-01-15,11211.917769118882,11356.5434306789
2021-01-19,11276.39022382607,11457.859399253339
2021-01-20,11401.493622761069,11660.093084349059
2021-01-21,11373.908381342826,11692.387044448726
2021-01-22,11439.284512331978,11674.850221280312
2021-01-25,11588.539030274002,11743.872229755083
2021-01-26,11557.195424883612,11751.615122107069
2021-01-27,11216.924358960696,11460.969481210057
